FRA	= "countries/France.txt"
COS  = "countries/Corsica.txt"
BRT  = "countries/Brittany.txt"
PRO  = "countries/Provence.txt"
GAS  = "countries/Gascogne.txt"
NAV  = "countries/Navarre.txt"
ALG  = "countries/Algeria.txt"
GBR  = "countries/Great_Britain.txt"
SCO  = "countries/Scotland.txt"
IRE  = "countries/Ireland.txt"
WEI  = "countries/Welsh.txt"
KVO  = "countries/Cornwall.txt"
NOS  = "countries/Northumbria.txt"
ENG  = "countries/England.txt"
AUS  = "countries/Austria.txt"
HUN  = "countries/Hungary.txt"
SLO  = "countries/Slovakia.txt"
CRO  = "countries/Croatia.txt"
SLV  = "countries/Slovenia.txt"
TRL  = "countries/Transylvania.txt"
CLA  = "countries/Galicia-Volinia.txt"
CZE  = "countries/Czekh.txt"
BNT  = "countries/Banat.txt"
VEN  = "countries/Venice.txt"
RUS  = "countries/Russia.txt"
POL  = "countries/Poland.txt"
UKR  = "countries/Ukraine.txt"
BLG  = "countries/Belarus.txt"
EST  = "countries/Esthonia.txt"
LAT  = "countries/Latvia.txt"
LIT  = "countries/Lithuania.txt"
ASK  = "countries/Alaska.txt"
KAZ  = "countries/Kazan.txt"
CRI  = "countries/Crimea.txt"
ASL  = "countries/Astrakhan.txt"
DON  = "countries/Don_river_Cossack.txt"
GLS  = "countries/The_North_Caucasus_Cossack.txt"
GEO  = "countries/Georgia.txt"
ASB  = "countries/Azerbaijan.txt"
HAZ  = "countries/Kazakhstan.txt"
TJK  = "countries/Tajikistan.txt"
UZB  = "countries/Uzbekistan.txt"
TKM  = "countries/Turkmen.txt"
GRG  = "countries/Kyrgyzstan.txt"
SIB  = "countries/Siberia.txt"
GER  = "countries/Germany.txt"
PRU  = "countries/Prussia.txt"
BAV  = "countries/Bavaria.txt"
HOL  = "countries/Schleswig-Holstein.txt"
BAD  = "countries/Bardon.txt"
WTB  = "countries/Wurttemberg.txt"
RHN  = "countries/Rhineland.txt"
HAN  = "countries/Hanoverian.txt"
MEL  = "countries/Mecklenburg.txt"
SAX  = "countries/Saxon.txt"
SLI  = "countries/Silesia.txt"
TLG  = "countries/Thüringen.txt"
HES  = "countries/Heessen.txt"
AES  = "countries/Alsace.txt"
BOR  = "countries/Brandebourg.txt"
LKE  = "countries/Leakhite.txt"
ITA  = "countries/Italy.txt"
LBD  = "countries/Lombardy.txt"
SAV  = "countries/Savoy.txt"
STD  = "countries/Sardinia.txt"
PIE  = "countries/Piedmont.txt"
GEN  = "countries/Genoa.txt"
FER  = "countries/Ferrara.txt"
MDN  = "countries/Modena.txt"
FOL  = "countries/Florence.txt"
PAP  = "countries/Pope.txt"
NAP  = "countries/Neaples.txt"
SIC  = "countries/Sicily.txt"
MLT  = "countries/Malta.txt"
SPC	= "countries/Spain_communist.txt"
CAT  = "countries/Catalonian.txt"
VAL  = "countries/Valentia.txt"
ARA  = "countries/Aragon.txt"
ADU  = "countries/Andalusian.txt"
GAC  = "countries/Galicia.txt"
ASU  = "countries/Asturias.txt"
LEO  = "countries/Lyon.txt"
TRO  = "countries/Toledo.txt"
CAS  = "countries/Castilla.txt"
BYZ	= "countries/Byzantium.txt"
SRP  = "countries/Cyprus.txt"
POR  = "countries/Portuguesa.txt"
ALB  = "countries/Albania.txt"
KSO  = "countries/Kosovo.txt"
BUR  = "countries/Bulgaria.txt"
SBU	= "countries/Serbia-BosniaUnion.txt"
SER  = "countries/Serbia.txt"
BOS  = "countries/Bosnia.txt"
HSG  = "countries/Herzegovina.txt"
ROM  = "countries/Romania.txt"
MOR  = "countries/Moldavia.txt"
WAL  = "countries/Wallachia.txt"
SWI  = "countries/Switzerland.txt"
DAN  = "countries/Denmark.txt"
ICE  = "countries/Iceland.txt"
NOR  = "countries/Norway.txt"
SWE  = "countries/Sweden.txt"
SAR  = "countries/Sami.txt"
FIN  = "countries/Finland.txt"
KAR  = "countries/Krakow.txt"
BEL  = "countries/Belgium.txt"
FLD  = "countries/Flanders.txt"  
WLO  = "countries/Wallonia.txt"
LUX  = "countries/Luxembourg.txt"
NER  = "countries/Nederland.txt"
QNG  = "countries/The_Qing_Empire.txt"
JAP  = "countries/Japan.txt"
JPR  = "countries/Ryukyu.txt"
JPX  = "countries/Shimadzu.txt"
JPN  = "countries/Nabeshima.txt"
JPM  = "countries/Mouri.txt"
JPY  = "countries/Yamauchi.txt"
JPU  = "countries/Uesugi.txt"
JPT  = "countries/Tokugawa.txt"
JPD  = "countries/Date.txt"
JPE  = "countries/Toudou.txt"
JPO  = "countries/Ookubo.txt"
JPS  = "countries/Matsumae.txt"
KOR  = "countries/Korea.txt"
KOS  = "countries/Gyeonggi.txt"
KOP  = "countries/Gangbug.txt"
KOC  = "countries/Samhan.txt"
VET  = "countries/Vietnam.txt"
VTT  = "countries/Tokin.txt"
VTA  = "countries/Annam.txt"
VTZ  = "countries/Champa.txt"
MNG  = "countries/Mongolia.txt"
MNT  = "countries/Tannu_Uriankhai..txt"
MNE  = "countries/East_Mongolia.txt"
MNW  = "countries/West_Mongolia.txt"
TIB  = "countries/Tibet.txt"
TBQ  = "countries/Qinghai.txt"
TBK  = "countries/Xikang.txt"
TBL  = "countries/Shigatse.txt"
TBD  = "countries/Ladakh.txt"
TBW  = "countries/Outer_Himalayan.txt"
CHX  = "countries/Xinjiang.txt"
CXB  = "countries/Dihua.txt"
CXY  = "countries/Ili.txt"
CXK  = "countries/Kashgar.txt"
CHY  = "countries/Xinan.txt"
CYY  = "countries/Yunnan.txt"
CYG  = "countries/Guizhou.txt"
